"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2000",28305.483404,
"AUS","GDP","TOT","USD_CAP","A","2001",29545.064836,
"AUS","GDP","TOT","USD_CAP","A","2002",30800.452131,
"AUS","GDP","TOT","USD_CAP","A","2003",32336.494452,
"AUS","GDP","TOT","USD_CAP","A","2004",33947.342915,
"AUS","GDP","TOT","USD_CAP","A","2005",35642.418706,
"AUS","GDP","TOT","USD_CAP","A","2006",37880.895567,
"AUS","GDP","TOT","USD_CAP","A","2007",39638.551627,
"AUS","GDP","TOT","USD_CAP","A","2008",40105.110301,
"AUS","GDP","TOT","USD_CAP","A","2009",41666.763509,
"AUS","GDP","TOT","USD_CAP","A","2010",42825.605734,
"AUS","GDP","TOT","USD_CAP","A","2011",44429.559507,
"AUS","GDP","TOT","USD_CAP","A","2012",43883.378891,
"AUS","GDP","TOT","USD_CAP","A","2013",47761.901259,
"AUS","GDP","TOT","USD_CAP","A","2014",47603.880878,
"AUS","GDP","TOT","USD_CAP","A","2015",47232.62912,
"AUS","GDP","TOT","USD_CAP","A","2016",50150.652199,
"AUS","GDP","TOT","USD_CAP","A","2017",50699.175108,
"AUS","GDP","TOT","USD_CAP","A","2018",52907.901588,
"AUS","GDP","TOT","USD_CAP","A","2019",52956.736913,
"AUS","GDP","TOT","USD_CAP","A","2020",54654.22634,
"AUT","GDP","TOT","USD_CAP","A","2000",29388.784958,
"AUT","GDP","TOT","USD_CAP","A","2001",29715.636017,
"AUT","GDP","TOT","USD_CAP","A","2002",31178.051444,
"AUT","GDP","TOT","USD_CAP","A","2003",32123.696189,
"AUT","GDP","TOT","USD_CAP","A","2004",33756.259412,
"AUT","GDP","TOT","USD_CAP","A","2005",35024.557484,
"AUT","GDP","TOT","USD_CAP","A","2006",37614.942761,
"AUT","GDP","TOT","USD_CAP","A","2007",39384.189618,
"AUT","GDP","TOT","USD_CAP","A","2008",41316.022642,
"AUT","GDP","TOT","USD_CAP","A","2009",40957.262321,
"AUT","GDP","TOT","USD_CAP","A","2010",42053.24337,
"AUT","GDP","TOT","USD_CAP","A","2011",44469.209642,
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"AUT","GDP","TOT","USD_CAP","A","2013",47936.677963,
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49942.056293,
"AUT","GDP","TOT","USD_CAP","A","2016",52665.087457,
"AUT","GDP","TOT","USD_CAP","A","2017",54188.360666,
"AUT","GDP","TOT","USD_CAP","A","2018",57077.725327,
"AUT","GDP","TOT","USD_CAP","A","2019",58656.346377,
"AUT","GDP","TOT","USD_CAP","A","2020",55651.106208,
"BEL","GDP","TOT","USD_CAP","A","2000",27797.333304,
"BEL","GDP","TOT","USD_CAP","A","2001",28799.327509,
"BEL","GDP","TOT","USD_CAP","A","2002",30281.667989,
"BEL","GDP","TOT","USD_CAP","A","2003",30901.382717,
"BEL","GDP","TOT","USD_CAP","A","2004",32036.935514,
"BEL","GDP","TOT","USD_CAP","A","2005",33176.680884,
"BEL","GDP","TOT","USD_CAP","A","2006",35211.893732,
"BEL","GDP","TOT","USD_CAP","A","2007",36745.503067,
"BEL","GDP","TOT","USD_CAP","A","2008",37883.233422,
"BEL","GDP","TOT","USD_CAP","A","2009",37779.034875,
"BEL","GDP","TOT","USD_CAP","A","2010",39868.992658,
"BEL","GDP","TOT","USD_CAP","A","2011",40943.343479,
"BEL","GDP","TOT","USD_CAP","A","2012",42290.477674,
"BEL","GDP","TOT","USD_CAP","A","2013",43672.712292,
"BEL","GDP","TOT","USD_CAP","A","2014",44929.933328,
"BEL","GDP","TOT","USD_CAP","A","2015",46201.685891,
"BEL","GDP","TOT","USD_CAP","A","2016",48599.202676,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.947518,
"BEL","GDP","TOT","USD_CAP","A","2018",52623.794383,
"BEL","GDP","TOT","USD_CAP","A","2019",54918.053637,
"BEL","GDP","TOT","USD_CAP","A","2020",52781.880047,"P"
"CAN","GDP","TOT","USD_CAP","A","2000",29363.147122,
"CAN","GDP","TOT","USD_CAP","A","2001",30214.300999,
"CAN","GDP","TOT","USD_CAP","A","2002",30963.222007,
"CAN","GDP","TOT","USD_CAP","A","2003",32333.608155,
"CAN","GDP","TOT","USD_CAP","A","2004",33911.218288,
