"Živorojeni po dnevu rojstva, Slovenija, meseèno"

"MESEC","Dan rojstva - SKUPAJ","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
"2000M01",1506,31,46,51,50,60,51,49,56,47,51,57,63,50,45,43,54,48,46,39,41,55,46,39,44,42,43,59,62,49,34,55
"2000M02",1429,53,44,55,58,34,31,59,44,51,54,45,52,44,64,60,44,55,55,37,49,49,54,55,39,44,53,35,53,59,-,-
"2000M03",1522,63,35,62,51,47,49,40,54,53,56,46,37,39,63,51,49,46,48,30,48,59,44,53,69,48,31,50,55,60,40,46
"2000M04",1546,53,50,50,47,50,36,63,46,33,50,61,55,50,50,56,53,59,49,54,65,63,35,35,38,53,76,49,62,55,50,-
"2000M05",1551,36,50,47,50,66,50,28,58,51,60,59,61,44,36,43,62,55,63,49,39,31,59,36,57,54,49,47,39,55,53,64
"2000M06",1480,55,30,39,39,57,68,54,43,49,45,43,60,66,45,45,53,44,27,54,38,48,53,53,45,45,68,53,62,50,49,-
"2000M07",1527,58,41,62,49,43,57,62,45,40,41,48,48,44,49,47,36,57,62,57,38,49,51,32,47,56,65,50,60,41,39,53
"2000M08",1570,44,71,58,62,51,37,54,49,53,49,49,47,46,65,63,48,43,65,53,46,46,54,50,59,42,40,43,38,51,47,47
"2000M09",1600,59,52,40,56,57,59,55,54,46,38,66,55,53,51,56,51,46,46,59,60,50,40,48,52,57,61,62,57,62,52,-
"2000M10",1554,45,77,61,59,73,64,50,44,47,54,51,52,48,33,23,53,43,57,44,60,53,41,49,59,51,44,49,35,41,52,42
"2000M11",1400,34,53,60,38,38,46,58,56,44,45,53,27,58,40,48,42,60,41,43,49,45,39,49,46,41,44,57,53,50,43,-
"2000M12",1495,46,39,36,45,69,43,45,46,49,33,55,45,50,54,61,44,28,42,42,55,54,49,59,50,33,41,70,58,52,57,45
"2001M01",1547,25,27,56,56,58,44,39,48,39,49,53,46,37,51,59,69,60,60,52,46,35,45,51,65,61,61,53,43,72,45,42
"2001M02",1297,59,43,43,35,59,46,50,37,51,43,31,46,55,48,53,55,40,24,45,54,49,47,66,43,45,41,47,42,-,-,-
"2001M03",1478,50,57,51,35,54,55,52,47,62,28,39,52,44,34,46,54,36,29,56,43,61,47,58,36,38,65,49,48,62,47,43
"2001M04",1409,38,35,53,37,48,49,40,36,47,54,45,60,43,46,40,37,46,46,58,49,42,40,68,52,55,38,45,51,45,66,-
"2001M05",1536,52,47,60,66,40,52,55,42,55,53,50,56,33,60,45,54,53,54,45,32,55,39,63,54,56,36,39,48,45,46,51
"2001M06",1396,49,38,29,45,50,53,51,56,30,45,45,51,64,65,50,33,39,53,42,51,51,56,43,35,26,57,49,49,52,39,-
"2001M07",1553,47,50,54,58,54,42,56,39,56,48,44,52,44,37,35,54,45,50,55,62,35,53,63,48,60,51,59,58,28,56,60
"2001M08",1438,51,45,55,46,46,49,46,58,45,51,39,34,43,46,35,54,58,52,37,44,39,60,46,46,44,39,46,40,50,55,39
"2001M09",1486,52,27,45,42,45,47,40,30,34,51,46,63,52,58,46,40,54,56,66,58,63,60,45,66,61,47,48,62,48,34,-
"2001M10",1468,67,54,45,47,54,46,37,57,56,43,37,43,45,33,39,50,49,50,49,42,34,57,48,60,51,50,28,46,40,66,45
"2001M11",1381,36,47,47,26,54,51,51,61,51,38,28,57,44,42,46,43,44,44,39,48,43,54,57,53,37,42,46,47,57,48,-
"2001M12",1488,42,44,51,43,50,45,51,53,35,58,43,37,56,54,37,38,56,50,49,55,59,36,42,61,43,26,50,61,50,53,60
"2002M01",1457,49,39,47,53,45,37,57,41,41,47,38,41,43,50,60,52,56,52,35,35,49,52,50,42,62,47,37,53,48,53,46
"2002M02",1307,52,45,57,39,42,50,55,47,48,30,52,52,41,49,49,50,44,57,51,45,46,44,31,30,56,51,49,45,-,-,-
"2002M03",1494,66,38,48,47,45,51,36,54,53,39,50,51,41,63,55,34,46,58,52,61,46,46,47,30,43,48,55,42,63,41,45
"2002M04",1407,39,50,54,54,51,45,38,47,58,59,55,47,46,36,38,48,45,57,56,35,30,47,42,44,54,61,32,39,48,52,-
"2002M05",1451,39,36,67,54,43,57,45,45,52,44,35,35,54,45,38,41,52,49,42,44,49,46,62,59,37,35,56,55,41,48,46
"2002M06",1457,34,36,59,43,46,48,56,34,44,52,34,60,57,49,50,52,50,46,64,54,50,50,37,66,39,56,59,50,39,43,-
"2002M07",1546,44,52,56,51,38,50,51,49,46,73,43,67,32,32,50,55,46,54,54,41,29,47,57,53,53,55,50,43,52,58,65
"2002M08",1502,48,55,51,39,57,53,51,52,58,47,35,53,48,48,35,58,58,42,47,49,51,47,38,48,40,50,59,52,42,54,37
"2002M09",1646,38,52,48,66,45,56,49,33,40,56,66,60,58,54,47,59,64,73,55,50,50,48,67,41,72,66,78,47,46,62,-
"2002M10",1507,65,43,56,65,45,27,45,62,68,70,54,33,24,37,38,51,54,49,43,48,42,40,51,59,45,45,47,54,54,59,34
"2002M11",1288,31,35,46,56,61,40,53,56,39,27,44,37,44,44,58,37,39,46,53,38,34,50,34,32,47,30,38,51,50,38,-
"2002M12",1439,36,50,46,40,48,56,34,36,46,45,61,70,46,37,44,51,55,64,40,58,35,43,64,51,45,48,30,42,29,45,44
"2003M01",1433,41,39,55,37,25,52,52,64,42,53,33,35,38,48,49,42,62,47,42,43,42,55,54,59,47,25,52,42,46,56,56
"2003M02",1336,48,39,37,53,55,36,65,29,34,47,47,48,53,66,39,37,51,47,59,60,51,40,48,46,56,46,52,47,-,-,-
"2003M03",1277,34,47,40,43,49,48,52,26,39,42,34,49,35,48,40,33,54,46,42,48,59,27,35,44,45,39,38,37,37,24,43
"2003M04",1419,41,42,35,51,39,46,45,44,44,43,65,46,32,53,53,53,44,63,43,31,33,53,67,40,61,56,41,49,52,54,-
"2003M05",1495,47,42,62,30,50,52,52,51,52,44,46,54,44,52,50,47,45,39,55,52,48,50,53,40,44,46,45,50,53,50,50
"2003M06",1492,56,50,39,62,54,55,40,38,49,55,55,51,38,40,43,39,49,57,53,59,40,47,65,63,48,52,59,49,39,48,-
"2003M07",1613,85,60,56,52,55,39,65,53,42,54,60,50,37,59,48,65,62,49,33,36,62,55,53,52,56,32,35,46,56,57,49
"2003M08",1438,51,40,31,52,64,53,54,61,50,42,42,53,52,59,43,39,40,43,48,39,45,50,33,31,50,53,59,53,37,36,35
"2003M09",1535,47,49,46,56,58,37,34,44,55,61,54,50,52,33,43,42,54,57,78,46,47,67,43,63,59,53,49,41,58,59,-
"2003M10",1490,53,43,52,41,32,54,62,53,58,47,50,40,46,66,41,55,61,35,36,45,53,61,46,59,34,27,50,52,42,49,47
"2003M11",1351,40,38,51,50,42,48,53,50,37,43,45,55,49,44,42,36,52,46,47,56,45,35,30,49,43,49,53,47,41,35,-
"2003M12",1442,43,35,59,50,50,31,32,67,41,48,52,55,34,29,50,46,47,52,58,51,44,57,43,56,33,38,40,34,49,64,54
"2004M01",1542,46,55,58,45,64,46,40,54,52,43,36,54,54,51,60,53,40,40,47,62,53,45,66,32,41,51,54,65,49,55,31
"2004M02",1373,37,55,48,50,40,52,50,42,54,44,43,43,54,40,36,52,43,60,49,47,49,40,58,42,55,43,63,35,49,-,-
"2004M03",1442,59,44,54,53,62,41,39,42,58,47,52,43,29,36,45,45,56,46,61,35,38,39,49,60,41,53,30,33,56,42,54
"2004M04",1461,39,56,37,40,51,48,61,49,54,38,39,34,64,41,70,44,42,33,54,64,58,70,51,36,38,51,51,45,54,49,-
"2004M05",1506,39,46,62,45,53,66,47,46,45,50,53,50,40,47,50,32,52,58,65,53,47,44,41,43,56,53,43,51,39,32,58
"2004M06",1494,55,53,57,45,52,36,53,51,52,57,52,33,33,46,58,63,50,57,39,30,52,47,68,60,43,49,40,65,44,54,-
"2004M07",1628,69,62,42,46,60,38,53,56,59,49,47,51,57,57,47,59,43,44,57,66,58,48,55,40,46,51,58,49,56,63,42
"2004M08",1531,40,56,54,58,52,56,50,37,50,60,52,52,46,36,44,55,55,53,51,54,42,39,56,52,52,50,52,48,31,55,43
"2004M09",1601,45,47,56,49,36,46,50,62,40,57,50,51,60,71,57,66,57,52,46,69,54,48,52,55,49,42,56,54,58,66,-
"2004M10",1486,49,33,29,48,50,53,54,60,30,45,52,61,42,59,65,41,45,43,55,40,45,46,44,39,53,62,55,37,59,46,46
"2004M11",1417,31,50,53,55,51,37,34,47,47,49,54,46,33,38,57,57,54,53,53,37,40,56,42,55,64,46,42,31,53,52,-
"2004M12",1480,56,58,37,37,29,58,35,52,51,48,46,45,56,50,52,53,63,54,47,48,54,53,53,42,40,41,56,49,48,29,40
"2005M01",1515,45,34,57,55,54,55,50,35,40,38,54,51,58,36,32,39,61,53,59,57,54,44,46,53,60,53,51,51,41,40,59
"2005M02",1373,53,47,45,52,41,38,48,42,50,71,40,46,35,54,53,56,42,60,34,41,54,70,61,66,45,47,35,47,-,-,-
"2005M03",1517,46,56,52,63,40,25,58,49,47,46,41,40,39,42,41,49,63,61,46,30,57,61,69,59,67,39,29,36,58,60,48
"2005M04",1462,64,45,36,52,57,41,43,53,33,34,58,59,48,52,53,29,40,56,64,60,65,52,39,40,55,61,33,42,53,45,-
"2005M05",1591,47,45,52,71,56,57,48,35,56,50,54,56,56,50,39,47,60,51,62,47,36,45,59,50,51,55,61,46,37,60,52
"2005M06",1511,42,60,40,39,48,44,51,45,54,45,43,44,46,52,54,75,61,36,39,56,54,57,62,61,40,32,52,51,72,56,-
"2005M07",1592,63,52,30,48,57,57,48,63,34,38,43,60,56,56,64,50,40,68,67,47,42,60,50,49,53,51,52,52,56,45,41
