"Živorojeni po starosti in izobrazbi matere ter vrstnem redu rojstva, Slovenija, letno"

"STAROSTNE SKUPINE","IZOBRAZBA MATERE","2010 Vrstni red rojstva - SKUPAJ","2010 Prvo rojstvo","2010 Drugo rojstvo","2010 Tretje rojstvo ali veè","2011 Vrstni red rojstva - SKUPAJ","2011 Prvo rojstvo","2011 Drugo rojstvo","2011 Tretje rojstvo ali veè","2012 Vrstni red rojstva - SKUPAJ","2012 Prvo rojstvo","2012 Drugo rojstvo","2012 Tretje rojstvo ali veè","2013 Vrstni red rojstva - SKUPAJ","2013 Prvo rojstvo","2013 Drugo rojstvo","2013 Tretje rojstvo ali veè","2014 Vrstni red rojstva - SKUPAJ","2014 Prvo rojstvo","2014 Drugo rojstvo","2014 Tretje rojstvo ali veè","2015 Vrstni red rojstva - SKUPAJ","2015 Prvo rojstvo","2015 Drugo rojstvo","2015 Tretje rojstvo ali veè","2016 Vrstni red rojstva - SKUPAJ","2016 Prvo rojstvo","2016 Drugo rojstvo","2016 Tretje rojstvo ali veè","2017 Vrstni red rojstva - SKUPAJ","2017 Prvo rojstvo","2017 Drugo rojstvo","2017 Tretje rojstvo ali veè","2018 Vrstni red rojstva - SKUPAJ","2018 Prvo rojstvo","2018 Drugo rojstvo","2018 Tretje rojstvo ali veè"
"Starostne skupine - SKUPAJ","Izobrazba matere - SKUPAJ",22343,10992,8193,3158,21947,10637,8327,2983,21938,10524,8466,2948,21111,10469,7917,2725,21165,10154,8082,2929,20641,9881,7849,2911,20345,9640,7794,2911,20241,9268,8003,2970,19585,8902,7669,3014
"Starostne skupine - SKUPAJ","Brez izobrazbe, nepopolna osnovnošolska",191,107,41,43,187,115,47,25,182,108,52,22,233,140,72,21,197,98,63,36,231,138,72,21,264,142,86,36,240,112,81,47,252,131,75,46
"Starostne skupine - SKUPAJ","Osnovnošolska",1716,730,548,438,1678,721,521,436,1513,613,506,394,1481,655,453,373,1445,590,477,378,1475,590,500,385,1297,498,434,365,1245,441,442,362,1136,367,404,365
"Starostne skupine - SKUPAJ","Nižja poklicna, srednja poklicna",2767,1095,1110,562,2463,977,985,501,2370,971,949,450,2158,866,865,427,2046,775,829,442,1921,718,772,431,1860,727,707,426,1786,690,668,428,1707,643,652,412
"Starostne skupine - SKUPAJ","Srednja strokovna, srednja splošna",8066,4320,2849,897,7512,3930,2757,825,7933,4174,2882,877,7178,3877,2543,758,7099,3725,2572,802,6715,3396,2519,800,6221,3117,2284,820,6313,3066,2403,844,6183,2910,2447,826
"Starostne skupine - SKUPAJ","Visokošolska 1. stopnje ipd.",4057,2095,1521,441,3365,1648,1359,358,3269,1573,1331,365,3754,1960,1436,358,4134,2098,1629,407,4149,2189,1536,424,4477,2296,1740,441,4533,2250,1829,454,4484,2238,1757,489
"Starostne skupine - SKUPAJ","Visokošolska 2. stopnje ipd.",5028,2446,1899,683,6067,2988,2355,724,6092,2859,2498,735,5729,2735,2308,686,5631,2630,2256,745,5537,2574,2235,728,5568,2607,2251,710,5498,2464,2303,731,5207,2368,2072,767
"Starostne skupine - SKUPAJ","Visokošolska 3. stopnje ipd.",518,199,225,94,675,258,303,114,579,226,248,105,578,236,240,102,613,238,256,119,613,276,215,122,658,253,292,113,626,245,277,104,616,245,262,109
"Pod 20 let","Izobrazba matere - SKUPAJ",251,219,28,4,255,229,23,3,220,187,29,4,224,197,20,7,233,198,31,4,210,187,16,7,190,157,27,6,183,151,32,0,173,131,32,10
"Pod 20 let","Brez izobrazbe, nepopolna osnovnošolska",37,30,5,2,34,31,2,1,23,21,2,0,21,18,3,0,28,22,5,1,41,31,7,3,47,35,10,2,45,33,12,0,39,26,9,4
